year,gender,total_participations,unique_athletes,total_medals
1896,Male,619,243,151
1900,Female,28,22,7
1900,Male,3460,1823,485
1904,Female,17,6,10
1904,Male,2744,1221,490
1908,Female,52,49,12
1908,Male,3876,2288,849
1912,Female,79,58,24
1912,Male,5160,2674,874
1920,Female,125,85,36
1920,Male,4355,2645,1195
1924,Female,216,145,43
1924,Male,5848,3575,828
1928,Female,412,303,103
1928,Male,4513,2972,653
1932,Female,206,131,67
1932,Male,1921,1294,568
1936,Female,481,350,100
1936,Male,5949,4044,837
1948,Female,625,413,106
1948,Male,5885,3934,757
1952,Female,1569,534,153
1952,Male,7279,4604,761
1956,Female,923,376,150
1956,Male,4239,2860,728
1960,Female,1477,629,162
1960,Male,6675,4592,751
1964,Female,1390,685,206
1964,Male,6317,4345,792
1968,Female,1923,797,220
1968,Male,6503,4316,784
1972,Female,2284,1083,255
1972,Male,7482,5410,902
1976,Female,2250,1275,393
1976,Male,5868,4209,860
1980,Female,1832,1151,444
1980,Male,5122,3769,873
1984,Female,2512,1607,494
1984,Male,6919,5044,936
1988,Female,3693,2325,553
1988,Male,8379,6164,977
1992,Female,4106,2744,594
1992,Male,8678,6589,1069
1996,Female,4958,3510,760
1996,Male,8443,6577,1042
2000,Female,5397,4070,884
2000,Male,8106,6362,1077
2004,Female,5538,4338,902
2004,Male,7692,6148,1083
2008,Female,5837,4680,920
2008,Male,7676,6249,1093
2012,Female,5785,4690,916
2012,Male,6996,5855,1010
2016,Female,6158,5028,962
2016,Male,7325,6111,1038
2020,Female,6652,5398,1113
2020,Male,7092,5816,1132
2024,Female,1162,1004,1142
2024,Male,1153,1050,1126
